dataset,target,method,n_runs,mean_score_mean,mean_score_std,max_score_mean,max_score_std,diversity_mean,diversity_std,seed_novelty_mean,seed_novelty_std,best_delta_mean,best_delta_std
structural,Acinetobacter,entropy_diversity,3,0.10501334828423377,0.0031296406496439753,0.12397940230609757,0.007751964897135738,10.498231292517007,0.8685615824719407,0.0008548720677692667,0.00015854191826327613,0.06981920076427955,0.007751964897135732
structural,Acinetobacter,entropy_diversity_novelty,3,0.10501334828423374,0.0031296406496440312,0.12397940230609757,0.007751964897135738,10.498231292517007,0.8685615824719407,0.0008548720677692667,0.00015854191826327613,0.06981920076427955,0.007751964897135732
structural,Acinetobacter,random_diversity,3,0.1598696344641368,0.03252405474290007,0.20826564458177008,0.04456562490379661,11.248979591836735,5.80574166105435,0.002289168834686167,0.0027684422439945445,0.15410544303995208,0.044565624903796626
structural,Acinetobacter,random_no_diversity,3,0.1602561072589016,0.03318826321925158,0.20826564458177008,0.04456562490379661,10.85061224489796,6.417823837342663,0.0023460030555333333,0.0028668612057933477,0.15410544303995208,0.044565624903796626
structural,Enterobacter,entropy_diversity,4,0.607955608930585,0.005042596688079553,0.6356963672964597,0.010418623199082063,10.652857142857142,2.2051855512145226,0.0009147450327871999,1.444610303788063e-05,0.23304122837365068,0.010418623199082058
structural,Enterobacter,entropy_diversity_novelty,8,0.6079793724610248,0.004711749275286853,0.6356963672964597,0.009645770769666768,10.71469387755102,2.0685889626276923,0.000942016541957725,2.3263290184476238e-05,0.23304122837365068,0.009645770769666766
structural,Enterobacter,random_diversity,3,0.54731137247177,0.017515726001020894,0.5742132612470116,0.016274111171974897,10.763537414965986,4.867457155870724,0.0004033096631367,8.865156526357423e-05,0.17155812232420256,0.01627411117197489
structural,Enterobacter,random_no_diversity,3,0.54731137247177,0.017515726001020894,0.5742132612470116,0.016274111171974897,10.763537414965986,4.867457155870724,0.00040330966346663333,8.865156503951082e-05,0.17155812232420256,0.01627411117197489
structural,Pseudomonas,entropy_diversity,4,0.27513015479660186,0.004154169131290003,0.30633431875327966,0.012900486539707146,12.486122448979591,1.047810884458855,0.000864035785198125,3.233981405589084e-05,0.1852501431219663,0.012900486539707132
structural,Pseudomonas,entropy_diversity_novelty,8,0.2743326283232834,0.0053772817508149695,0.3051572733018927,0.012526155375624393,12.212448979591837,0.8090255140490566,0.00088073775172225,2.5580973909274125e-05,0.18407309767057933,0.012526155375624388
structural,Pseudomonas,random_diversity,3,0.25169347710806234,0.009028990837318467,0.27914736053782896,0.0058115774873926055,15.228027210884354,1.7997133064912236,0.0005346365769703334,9.592087612532377e-05,0.15806318490651564,0.005811577487392587
structural,Pseudomonas,random_no_diversity,3,0.25191789085481014,0.009364004113288698,0.27914736053782896,0.0058115774873926055,15.122448979591837,1.9823600254000382,0.0005364084239333,9.582622071008155e-05,0.15806318490651564,0.005811577487392587
structural_plus,Acinetobacter,entropy_diversity,3,0.10501334828423377,0.0031296406496439753,0.12397940230609757,0.007751964897135738,10.498231292517007,0.8685615824719407,0.0008548720677692667,0.00015854191826327613,0.06981920076427955,0.007751964897135732
structural_plus,Acinetobacter,entropy_diversity_novelty,3,0.10501334828423374,0.0031296406496440312,0.12397940230609757,0.007751964897135738,10.498231292517007,0.8685615824719407,0.0008548720677692667,0.00015854191826327613,0.06981920076427955,0.007751964897135732
structural_plus,Acinetobacter,random_diversity,3,0.1598696344641368,0.03252405474290007,0.20826564458177008,0.04456562490379661,11.248979591836735,5.80574166105435,0.002289168834686167,0.0027684422439945445,0.15410544303995208,0.044565624903796626
structural_plus,Acinetobacter,random_no_diversity,3,0.1602561072589016,0.03318826321925158,0.20826564458177008,0.04456562490379661,10.85061224489796,6.417823837342663,0.0023460030555333333,0.0028668612057933477,0.15410544303995208,0.044565624903796626
structural_plus,Enterobacter,entropy_diversity,3,0.6092957656620003,0.005231209386881815,0.6387027418721999,0.010420740641083802,10.458503401360543,2.658500463029034,0.0009168291091917667,1.694032445708071e-05,0.23604760294939084,0.010420740641083807
structural_plus,Enterobacter,entropy_diversity_novelty,3,0.6092957656620003,0.005231209386881788,0.6387027418721999,0.010420740641083802,10.458503401360543,2.658500463029034,0.0009168291091917667,1.694032445708071e-05,0.23604760294939084,0.010420740641083807
structural_plus,Enterobacter,random_diversity,3,0.54731137247177,0.017515726001020894,0.5742132612470116,0.016274111171974897,10.763537414965986,4.867457155870724,0.0004033096631367,8.865156526357423e-05,0.17155812232420256,0.01627411117197489
structural_plus,Enterobacter,random_no_diversity,3,0.54731137247177,0.017515726001020894,0.5742132612470116,0.016274111171974897,10.763537414965986,4.867457155870724,0.00040330966346663333,8.865156503951082e-05,0.17155812232420256,0.01627411117197489
structural_plus,Pseudomonas,entropy_diversity,3,0.27587550469207717,0.004748937034425063,0.30923828930204156,0.014107996305403886,12.497142857142856,1.28301706068515,0.0008721884091694333,3.4205316751187733e-05,0.18815411367072818,0.014107996305403861
structural_plus,Pseudomonas,entropy_diversity_novelty,3,0.27587550469207717,0.004748937034425063,0.30923828930204156,0.014107996305403886,12.497142857142856,1.28301706068515,0.0008721884091694333,3.4205316751187733e-05,0.18815411367072818,0.014107996305403861
structural_plus,Pseudomonas,random_diversity,3,0.25169347710806234,0.009028990837318467,0.27914736053782896,0.0058115774873926055,15.228027210884354,1.7997133064912236,0.0005346365769703334,9.592087612532377e-05,0.15806318490651564,0.005811577487392587
structural_plus,Pseudomonas,random_no_diversity,3,0.25191789085481014,0.009364004113288698,0.27914736053782896,0.0058115774873926055,15.122448979591837,1.9823600254000382,0.0005364084239333,9.582622071008155e-05,0.15806318490651564,0.005811577487392587
